code,notice_date,zero_confirmed,reason
sz.300998,2024-04-25,1,原件证实当前计划截至过半零买入
sh.600989,2024-05-07,1,原件证实当前计划截至过半零买入
sz.300497,2024-05-07,0,同一计划中董事会秘书已买入
sz.002388,2024-05-08,1,原件证实当前计划截至过半零买入
sz.002492,2024-05-21,0,同一计划中实际控制人已买入
sz.300716,2024-05-24,1,原件证实当前计划截至过半零买入
sz.002610,2024-05-28,1,原件证实当前计划截至过半零买入
sh.601619,2024-05-30,1,原件证实当前计划截至过半零买入
sh.603008,2024-06-06,1,原件证实当前计划截至过半零买入
sz.300368,2024-06-18,1,原件注明计划始于6月4日且此后至过半未买入
sh.603936,2024-08-03,1,原件证实当前计划截至过半零买入
sh.603978,2024-08-09,1,原件证实当前计划截至过半零买入
sz.002607,2024-10-19,1,原件证实当前计划截至过半零买入
sh.603421,2024-10-31,1,原件证实当前计划截至过半零买入
sz.000981,2024-11-05,1,原件证实当前计划截至过半零买入
sz.002909,2024-11-14,0,同一计划中其他增持主体已买入
sh.688560,2024-11-30,1,原件证实当前计划截至过半零买入
sz.002840,2024-12-04,1,原件证实当前计划截至过半零买入
sz.300317,2024-12-06,1,原件证实当前计划截至过半零买入
sz.300157,2024-12-18,1,原件证实当前计划截至过半零买入
sh.600328,2024-12-20,1,原件证实当前计划截至过半零买入
sz.002353,2024-12-20,1,原件证实当前计划截至过半零买入
sz.000691,2024-12-24,1,原件证实当前计划截至过半零买入
sz.002785,2025-01-11,0,同一计划中董事及董秘已买入
sz.002741,2025-01-15,1,原件证实当前计划截至过半零买入
sz.002167,2025-02-06,1,原件证实当前计划截至过半零买入
sz.301488,2025-02-06,1,原件证实当前计划截至过半零买入
sz.002388,2025-02-15,1,当前计划零买入；正文已买入属于上一计划
sz.000541,2025-02-20,1,原件证实当前计划截至过半零买入
sz.002434,2025-02-20,1,原件证实当前计划截至过半零买入
sh.603779,2025-02-28,1,原件证实当前计划截至过半零买入
sz.000597,2025-03-12,1,原件证实当前计划截至过半零买入
sh.603779,2025-03-29,1,原件证实当前计划截至过半零买入
sh.603712,2025-04-19,1,原件证实当前计划截至过半零买入
sh.603779,2025-04-30,1,原件证实当前计划截至过半零买入
sh.688717,2025-07-09,1,原件证实当前计划截至过半零买入
sz.000503,2025-07-09,1,原件证实当前计划截至过半零买入
sz.002475,2025-07-09,0,仅确认集中竞价未买入，原方案同时允许大宗交易
sz.002221,2025-07-10,1,原件证实当前计划截至过半零买入
sh.600255,2025-07-12,1,原件证实当前计划截至过半零买入
sz.002883,2025-07-12,1,原件证实当前计划截至过半零买入
sz.000995,2025-07-18,1,原件证实当前计划截至过半零买入
sz.002122,2025-08-01,0,同一计划中其他增持主体已买入
sh.600346,2025-10-10,1,原件证实当前计划截至过半零买入
sh.688180,2025-10-11,1,原件证实当前计划截至过半零买入
