date,code,notice_date,pdf_url,provisional_purpose,decision,evidence
2024-01-03,sh.603379,2024-01-02,https://static.cninfo.com.cn/finalpage/2024-01-02/1218785029.PDF,employee,pending,
2024-01-04,sz.000423,2024-01-03,https://static.cninfo.com.cn/finalpage/2024-01-03/1218792285.PDF,employee,pending,
2024-01-05,sz.002550,2024-01-04,https://static.cninfo.com.cn/finalpage/2024-01-04/1218800381.PDF,employee,pending,
2024-01-08,sh.603018,2024-01-06,https://static.cninfo.com.cn/finalpage/2024-01-06/1218817346.PDF,employee,pending,
2024-01-08,sh.603416,2024-01-06,https://static.cninfo.com.cn/finalpage/2024-01-06/1218815272.PDF,employee,pending,
2024-01-08,sz.000603,2024-01-06,https://static.cninfo.com.cn/finalpage/2024-01-06/1218816309.PDF,employee,pending,
2024-01-08,sz.002043,2024-01-06,https://static.cninfo.com.cn/finalpage/2024-01-06/1218816889.PDF,unknown,pending,
2024-01-10,sz.301201,2024-01-09,https://static.cninfo.com.cn/finalpage/2024-01-09/1218834911.PDF,employee,pending,
2024-01-10,sz.301267,2024-01-09,https://static.cninfo.com.cn/finalpage/2024-01-09/1218830172.PDF,employee,pending,
2024-01-11,sh.603530,2024-01-10,https://static.cninfo.com.cn/finalpage/2024-01-10/1218838228.PDF,employee,pending,
2024-01-11,sh.688326,2024-01-10,https://static.cninfo.com.cn/finalpage/2024-01-10/1218837602.PDF,employee,pending,
2024-01-11,sz.002279,2024-01-10,https://static.cninfo.com.cn/finalpage/2024-01-10/1218836026.PDF,unknown,pending,
2024-01-12,sh.689009,2024-01-11,https://static.cninfo.com.cn/finalpage/2024-01-11/1218848573.PDF,unknown,pending,
2024-01-15,sh.603306,2024-01-12,https://static.cninfo.com.cn/finalpage/2024-01-12/1218858502.PDF,employee,pending,
2024-01-15,sh.688279,2024-01-12,https://static.cninfo.com.cn/finalpage/2024-01-12/1218859242.PDF,employee,pending,
2024-01-15,sz.002555,2024-01-13,https://static.cninfo.com.cn/finalpage/2024-01-13/1218869828.PDF,unknown,pending,
2024-01-15,sz.002572,2024-01-12,https://static.cninfo.com.cn/finalpage/2024-01-12/1218858835.PDF,employee,pending,
2024-01-15,sz.300379,2024-01-13,https://static.cninfo.com.cn/finalpage/2024-01-13/1218868324.PDF,employee,pending,
2024-01-16,sh.603612,2024-01-15,https://static.cninfo.com.cn/finalpage/2024-01-15/1218880279.PDF,employee,pending,
2024-01-17,sh.600487,2024-01-16,https://static.cninfo.com.cn/finalpage/2024-01-16/1218890571.PDF,employee,pending,
2024-01-18,sh.688349,2024-01-17,https://static.cninfo.com.cn/finalpage/2024-01-17/1218917739.PDF,employee,pending,
2024-01-18,sz.000921,2024-01-17,https://static.cninfo.com.cn/finalpage/2024-01-17/1218918202.PDF,unknown,pending,
2024-01-22,sh.688258,2024-01-20,https://static.cninfo.com.cn/finalpage/2024-01-20/1218957049.PDF,employee,pending,
2024-01-22,sz.000661,2024-01-20,https://static.cninfo.com.cn/finalpage/2024-01-20/1218955971.PDF,employee,pending,
2024-01-22,sz.300126,2024-01-19,https://static.cninfo.com.cn/finalpage/2024-01-19/1218949948.PDF,employee,pending,
2024-01-23,sz.300768,2024-01-22,https://static.cninfo.com.cn/finalpage/2024-01-22/1218969553.PDF,employee,pending,
2024-01-24,sh.600373,2024-01-23,https://static.cninfo.com.cn/finalpage/2024-01-23/1218968405.PDF,cancel,pending,
2024-01-24,sz.000925,2024-01-23,https://static.cninfo.com.cn/finalpage/2024-01-23/1218969859.PDF,employee,pending,
2024-01-24,sz.002324,2024-01-23,https://static.cninfo.com.cn/finalpage/2024-01-23/1218969703.PDF,employee,pending,
2024-01-24,sz.300005,2024-01-23,https://static.cninfo.com.cn/finalpage/2024-01-23/1218978767.PDF,employee,pending,
2024-01-24,sz.300841,2024-01-23,https://static.cninfo.com.cn/finalpage/2024-01-23/1218979672.PDF,employee,pending,
2024-01-25,sh.603061,2024-01-24,https://static.cninfo.com.cn/finalpage/2024-01-24/1218977799.PDF,maintain,pending,
2024-01-25,sz.002139,2024-01-24,https://static.cninfo.com.cn/finalpage/2024-01-24/1218978273.PDF,unknown,pending,
2024-01-25,sz.002532,2024-01-24,https://static.cninfo.com.cn/finalpage/2024-01-24/1218979256.PDF,employee,pending,
2024-01-25,sz.300702,2024-01-24,https://static.cninfo.com.cn/finalpage/2024-01-24/1218989945.PDF,employee,pending,
2024-01-25,sz.301160,2024-01-24,https://static.cninfo.com.cn/finalpage/2024-01-24/1218990279.PDF,employee,pending,
2024-01-26,sh.600330,2024-01-25,https://static.cninfo.com.cn/finalpage/2024-01-25/1218988709.PDF,employee,pending,
2024-01-26,sh.600580,2024-01-25,https://static.cninfo.com.cn/finalpage/2024-01-25/1218990514.PDF,employee,pending,
2024-01-26,sh.600718,2024-01-25,https://static.cninfo.com.cn/finalpage/2024-01-25/1218990239.PDF,maintain,pending,
2024-01-26,sh.688292,2024-01-25,https://static.cninfo.com.cn/finalpage/2024-01-25/1218989336.PDF,employee,pending,
2024-01-26,sz.002322,2024-01-25,https://static.cninfo.com.cn/finalpage/2024-01-25/1218990046.PDF,employee,pending,
2024-01-29,sh.601208,2024-01-27,https://static.cninfo.com.cn/finalpage/2024-01-27/1219012613.PDF,employee,pending,
2024-01-29,sz.000555,2024-01-27,https://static.cninfo.com.cn/finalpage/2024-01-27/1219012401.PDF,unknown,pending,
2024-01-29,sz.002250,2024-01-27,https://static.cninfo.com.cn/finalpage/2024-01-27/1219010993.PDF,employee,pending,
2024-01-29,sz.002859,2024-01-26,https://static.cninfo.com.cn/finalpage/2024-01-26/1219002699.PDF,employee,pending,
2024-01-29,sz.300075,2024-01-26,https://static.cninfo.com.cn/finalpage/2024-01-26/1219011069.PDF,maintain,pending,
2024-01-30,sz.002937,2024-01-29,https://static.cninfo.com.cn/finalpage/2024-01-29/1219012070.PDF,employee,pending,
2024-01-31,sh.603658,2024-01-30,https://static.cninfo.com.cn/finalpage/2024-01-30/1219027652.PDF,cancel,pending,
2024-01-31,sh.688018,2024-01-30,https://static.cninfo.com.cn/finalpage/2024-01-30/1219028958.PDF,employee,pending,
2024-01-31,sz.300738,2024-01-30,https://static.cninfo.com.cn/finalpage/2024-01-30/1219043442.PDF,employee,pending,
2024-01-31,sz.300888,2024-01-30,https://static.cninfo.com.cn/finalpage/2024-01-30/1219044542.PDF,employee,pending,
2024-02-01,sh.603179,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219041971.PDF,employee,pending,
2024-02-01,sh.603185,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219045034.PDF,employee,pending,
2024-02-01,sz.002353,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219040922.PDF,unknown,pending,
2024-02-01,sz.300531,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219055539.PDF,employee,pending,
2024-02-01,sz.301382,2024-01-31,https://static.cninfo.com.cn/finalpage/2024-01-31/1219054894.PDF,employee,pending,
2024-02-02,sh.603596,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219053656.PDF,employee,pending,
2024-02-02,sh.603606,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219055504.PDF,employee,pending,
2024-02-02,sh.688111,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219056297.PDF,employee,pending,
2024-02-02,sz.002821,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219055209.PDF,employee,pending,
2024-02-02,sz.300454,2024-02-01,https://static.cninfo.com.cn/finalpage/2024-02-01/1219064924.PDF,employee,pending,
2024-02-05,sh.603236,2024-02-02,https://static.cninfo.com.cn/finalpage/2024-02-02/1219067461.PDF,maintain,pending,
2024-02-05,sz.002138,2024-02-03,https://static.cninfo.com.cn/finalpage/2024-02-03/1219081674.PDF,employee,pending,
2024-02-05,sz.002812,2024-02-03,https://static.cninfo.com.cn/finalpage/2024-02-03/1219082164.PDF,unknown,pending,
2024-02-05,sz.300567,2024-02-03,https://static.cninfo.com.cn/finalpage/2024-02-03/1219081299.PDF,cancel,pending,
