notice_date,code,pdf_url,screens,decision,actor,registered_date,released,held,after_pledged,evidence
2024-01-03,sz.300841,https://static.cninfo.com.cn/finalpage/2024-01-03/1218800530.PDF,after_only,pending,,,,,,
2024-01-05,sh.603687,https://static.cninfo.com.cn/finalpage/2024-01-05/1218807802.PDF,vertical,prelim,,,,,,
2024-01-06,sz.300103,https://static.cninfo.com.cn/finalpage/2024-01-06/1218815541.PDF,after_only,verified,孙建西,2024-01-03,23187000,84641584,31760000,原件明确登记两笔各11593500股；直接持股84641584股、剩余质押31760000股
2024-01-08,sz.300553,https://static.cninfo.com.cn/finalpage/2024-01-08/1218829378.PDF,after_only,reject,,,,,,跨层行属于一致行动人；直接控股股东未跨层
2024-01-10,sh.600172,https://static.cninfo.com.cn/finalpage/2024-01-10/1218835826.PDF,vertical,prelim,,,,,,
2024-01-13,sh.605001,https://static.cninfo.com.cn/finalpage/2024-01-13/1218869621.PDF,vertical,prelim,,,,,,
2024-01-13,sz.002798,https://static.cninfo.com.cn/finalpage/2024-01-13/1218868552.PDF,after_only,pending,,,,,,
2024-01-16,sz.002823,https://static.cninfo.com.cn/finalpage/2024-01-16/1218890057.PDF,after_only,pending,,,,,,
2024-01-17,sh.605199,https://static.cninfo.com.cn/finalpage/2024-01-17/1218915711.PDF,vertical,prelim,,,,,,
2024-01-19,sh.600732,https://static.cninfo.com.cn/finalpage/2024-01-19/1218943783.PDF,vertical,prelim,,,,,,
2024-01-19,sz.300475,https://static.cninfo.com.cn/finalpage/2024-01-19/1218951220.PDF,after_only,pending,,,,,,
2024-01-23,sh.603042,https://static.cninfo.com.cn/finalpage/2024-01-23/1218967820.PDF,vertical,prelim,,,,,,
2024-01-24,sz.002943,https://static.cninfo.com.cn/finalpage/2024-01-24/1218977658.PDF,after_only,pending,,,,,,
2024-01-30,sh.601615,https://static.cninfo.com.cn/finalpage/2024-01-30/1219026560.PDF,vertical,prelim,,,,,,
2024-01-30,sh.603555,https://static.cninfo.com.cn/finalpage/2024-01-30/1219028571.PDF,vertical,prelim,,,,,,
2024-01-31,sh.603626,https://static.cninfo.com.cn/finalpage/2024-01-31/1219040232.PDF,vertical,prelim,,,,,,
2024-02-03,sh.603329,https://static.cninfo.com.cn/finalpage/2024-02-03/1219079292.PDF,vertical,prelim,,,,,,
2024-02-06,sh.605358,https://static.cninfo.com.cn/finalpage/2024-02-06/1219098357.PDF,vertical,prelim,,,,,,
2024-02-23,sz.002108,https://static.cninfo.com.cn/finalpage/2024-02-23/1219167654.PDF,table,prelim,,,,,,
2024-02-26,sz.300448,https://static.cninfo.com.cn/finalpage/2024-02-26/1219184852.PDF,after_only,pending,,,,,,
2024-03-06,sh.603889,https://static.cninfo.com.cn/finalpage/2024-03-06/1219241962.PDF,vertical,prelim,,,,,,
2024-03-06,sz.002330,https://static.cninfo.com.cn/finalpage/2024-03-06/1219240571.PDF,table,prelim,,,,,,
2024-03-07,sh.603729,https://static.cninfo.com.cn/finalpage/2024-03-07/1219250308.PDF,vertical,prelim,,,,,,
2024-03-07,sz.300052,https://static.cninfo.com.cn/finalpage/2024-03-07/1219253860.PDF,table,reject,,,,,,跨层行属于控股股东一致行动人，直接控股股东未跨层
2024-03-12,sz.002681,https://static.cninfo.com.cn/finalpage/2024-03-12/1219287105.PDF,after_only,pending,,,,,,
